AbR	AbRPond	POF	NSP
2011-52-01:2011-53-07	-11.1258165706394	1.63526669272035	-1.64334320641988	-11.1258165706394
2011-52-01:Olho Junto	-2.7442721238091	0.336680910458536	-0.341011353394655	-2.7442721238091
2011-52-23:Aipim Manteiga	16.3225255451865	-1.89570342278358	1.89255621956762	16.3225255451865
2011-52-23:Aipim Ze Marcos	37.9251145268283	-5.77825032349412	5.78321990746079	37.9251145268283
2011-52-23:Cascuda	43.94979901614	-4.72008534300162	4.71348951745312	43.94979901614
2011-53-07:Guela Jacu	7.58295849232108	-1.73853755241334	1.73993152449842	7.58295849232108
6683:7909-02	-15.276447688002	1.43579665948524	-1.4240767228436	-15.276447688002
6683:BGM1659	-5.24811605304731	1.1118042014644	-1.11422374832085	-5.24811605304731
6683:BGM1942	-12.2518033296247	1.57463563559712	-1.57509888297614	-12.2518033296247
6683:BGM2044	7.68497171729048	-1.31934525630128	1.31760671389869	7.68497171729048
7795:BGM1253	22.9463442572608	-1.44172302859848	1.44438294813123	22.9463442572608
7795:BGM2167	-2.06518822593395	0.0200681523727682	-0.0171053389680605	-2.06518822593395
7909:BGM0131	4.14155142422936	-0.345536972312808	0.341372244577344	4.14155142422936
7909:BGM0728	29.6841154569801	-8.41716174886836	8.41596356940225	29.6841154569801
7909:BGM0935	8.94888036912889	-2.92686445433017	2.93266593345562	8.94888036912889
7909-02:7909-04	39.9958504520065	-10.6817656837637	10.6839423476259	39.9958504520065
7909-02:98150-6	-23.867508941178	3.66771933729919	-3.66220162070851	-23.867508941178
7909-02:BGM0816	-10.3167635066476	1.3927692757962	-1.39372495642342	-10.3167635066476
7909-02:BGM1023	-8.83200652010335	2.0857450559573	-2.0816552164997	-8.83200652010335
7909-02:BGM1024	-0.101300336977546	0.19177891601194	-0.188881120313198	-0.101300336977546
7909-02:BGM1716	-13.0825599894334	1.21788106568519	-1.21998068588297	-13.0825599894334
7909-02:BGM1760	-7.10988508811591	1.05406559912642	-1.06026476145472	-7.10988508811591
7909-02:BGM1784	-7.21011603289329	0.442203118206425	-0.447499245437471	-7.21011603289329
7909-02:BGM1942	2.40281254375642	-0.504385380377757	0.512829389035578	2.40281254375642
7909-02:BGM2044	-5.41449692278041	0.0476494919302461	-0.0482313003218654	-5.41449692278041
7909-02:BRS Dourada	-3.73376283268865	0.840468261583755	-0.841622130133094	-3.73376283268865
7909-02:BRS Formosa	2.46575254401035	0.3471994589683	-0.340612171338737	2.46575254401035
7909-02:BRS Jari	-7.47369822424247	1.40017289802768	-1.39691360465109	-7.47369822424247
7909-02:BRS KIRIRIS	-6.496949572951	1.30791288000656	-1.30512143819732	-6.496949572951
7909-02:BRS MULATINHA	-4.22470331310121	0.799072402796066	-0.802013799024661	-4.22470331310121
7909-04:7909-05	35.5043022198228	-3.96448443136342	3.9655949814127	35.5043022198228
7909-04:BGM0661	-4.71389631836834	0.60699234905781	-0.600150466166829	-4.71389631836834
7909-04:BGM0888	16.3369879106502	-1.77190858154988	1.7729912150288	16.3369879106502
7909-04:BGM2044	7.63815163422729	-1.16918673591725	1.16622711705457	7.63815163422729
7909-04:Cascuda	-9.66279451442889	1.60136573155891	-1.60513666790226	-9.66279451442889
7909-05:7909-02	-2.77453404768139	-0.0711517545217283	0.0618378805715131	-2.77453404768139
7909-05:BGM2142	3.09441410591902	0.898647707367736	-0.898668597821751	3.09441410591902
7909-09:BGM1942	-3.38249077953828	0.496100172034499	-0.494958388637186	-3.38249077953828
Aipim Abacate:BGM1163	-28.3216493361191	2.84290779665323	-2.83860310603063	-28.3216493361191
Aipim Abacate:BGM2020	-49.527508901296	4.69414130587721	-4.69047136810922	-49.527508901296
Aipim Abacate:BRS Jari	22.3192293251843	-2.91732365842977	2.92010194121486	22.3192293251843
Aipim Manteiga:2011-53-07	-7.91946080451342	0.6234999432221	-0.61575380746203	-7.91946080451342
Aipim Manteiga:Aipim Ze Marcos	-10.4881508894789	0.646199239106136	-0.647778548504398	-10.4881508894789
Aipim Manteiga:BGM0174	5.2439076574813	-1.12365103029625	1.12280434487374	5.2439076574813
Aipim Manteiga:Cascuda	-4.71914727190939	1.3404883370392	-1.33606966705181	-4.71914727190939
Aipim Manteiga:Fecula Branca	-17.8599558964691	2.97103199103311	-2.9707806323783	-17.8599558964691
Aipim Ze Marcos:2011-52-01	3.52593597456253	-0.847027777396734	0.846088155995183	3.52593597456253
Aipim Ze Marcos:2011-52-23	44.3497687815442	-1.74203023893435	1.75196798748969	44.3497687815442
Aipim Ze Marcos:2011-53-07	5.13368031328697	-0.0600921591947988	0.0654445295986675	5.13368031328697
Aipim Ze Marcos:4271	10.7387518709217	-2.27851805557453	2.2744754539248	10.7387518709217
BGM0046:BGM0093	18.9735176110731	-1.55603134879714	1.55479138519834	18.9735176110731
BGM0046:BGM0323	8.7551702847611	-0.802295485297363	0.801867228372515	8.7551702847611
BGM0046:BGM1716	3.2668773766812	0.149974155709508	-0.148443974005184	3.2668773766812
BGM0128:BGM0888	-11.2436362126101	1.84399147847912	-1.8460657325066	-11.2436362126101
BGM0128:BGM1130	-8.63389857752062	1.0538673643844	-1.05206046016974	-8.63389857752062
BGM0128:BGM2018	-10.7809968740384	1.92674303992462	-1.91944582473216	-10.7809968740384
BGM0216:BGM0323	1.82814006902687	0.519780244231014	-0.523522556951612	1.82814006902687
BGM0661:BGM0128	-16.4745497798233	1.80569566550343	-1.80582570424085	-16.4745497798233
BGM0661:BRS Dourada	-5.62474959118217	0.608800546750539	-0.603119804355133	-5.62474959118217
BGM0661:BRS Tapioqueira	7.95352447964254	0.426513311641288	-0.429762646109315	7.95352447964254
BGM0685:2011-52-01	-11.0618837340071	1.96453390402584	-1.96571594942796	-11.0618837340071
BGM0685:2011-52-23	-14.2196305085272	1.09545939604318	-1.10000736060834	-14.2196305085272
BGM0685:Aipim Manteiga	-2.74124919067659	0.352920430158001	-0.34898190243935	-2.74124919067659
BGM0685:Aipim Ze Marcos	-5.18446491157602	1.05116977684388	-1.05478080738625	-5.18446491157602
BGM0685:BGM0019	-22.465131842426	1.93996939977759	-1.93866643721932	-22.465131842426
BGM0685:BGM0061	-19.4769016880714	2.05975737971253	-2.06148882162543	-19.4769016880714
BGM0685:BGM0089	-33.0237920173627	3.56915275547847	-3.56807757872253	-33.0237920173627
BGM0685:Cascuda	-5.36269016732374	0.624507216367333	-0.619666725738963	-5.36269016732374
BGM0717:BGM2127	-2.47846227575337	0.795142898837811	-0.790898382975724	-2.47846227575337
BGM0728:BGM0685	17.2144818170816	-2.24959370536171	2.25170321087901	17.2144818170816
BGM0728:BGM0946	-11.4215148807835	2.16521695437168	-2.16955792528096	-11.4215148807835
BGM0728:BGM1163	19.4320639037843	-2.3260735113998	2.32018495734613	19.4320639037843
BGM0728:BGM1448	0.546406974697782	0.0755939140836617	-0.0749839220393809	0.546406974697782
BGM0816:BGM0661	-6.22108854617224	1.05532325450916	-1.05612516147262	-6.22108854617224
BGM0816:BGM1259	-2.79689709593855	0.7284434613672	-0.72930427515131	-2.79689709593855
BGM0816:BGM2155	4.86450542067424	-1.24292793149971	1.23726592480685	4.86450542067424
BGM0818:BGM1487	4.27264715191682	-0.158403755138433	0.158228395047321	4.27264715191682
BGM0818:BRS Tapioqueira	-6.3617700136496	0.936757041130989	-0.936405610300876	-6.3617700136496
